dataset_name,size,p,alpha,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
douban_sample1_train,100k,0.05,0.7,0.5047048052501867,0.4159651,0.37032404474556785
douban_sample2_train,100k,0.05,0.7,0.5098026586592129,0.41665253,0.37466452309767617
douban_sample3_train,100k,0.05,0.7,0.5089005829029299,0.4225495,0.3766762726322961
epinions_sample1_train,100k,0.05,0.7,0.7048094094752088,0.027255662,0.6869611039224147
epinions_sample2_train,100k,0.05,0.7,0.7048094094752088,0.027255662,0.6869611039224147
epinions_sample3_train,100k,0.05,0.7,0.7048094094752088,0.027255662,0.6869611039224147
jester_sample1_train,100k,0.05,0.7,0.406666355875352,0.14855804,0.26231567581474463
jester_sample2_train,100k,0.05,0.7,0.401523136264573,0.16232015,0.2640303786235136
jester_sample3_train,100k,0.05,0.7,0.4065855200803558,0.16905938,0.262841267742141
lastfm_sample1_train,100k,0.05,0.7,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample2_train,100k,0.05,0.7,0.633392307541833,0.3131537,0.5470510222514585
lastfm_sample3_train,100k,0.05,0.7,0.633392307541833,0.3131537,0.5470510222514585
ml-1m_sample1_train,100k,0.05,0.7,0.5043017626061871,0.16575314,0.4408848339117382
ml-1m_sample2_train,100k,0.05,0.7,0.5034021429667085,0.15947701,0.44236028663882104
ml-1m_sample3_train,100k,0.05,0.7,0.5015500651382024,0.16566356,0.43817227392547986
netflix_sample1_train,100k,0.05,0.7,0.5161218439337921,0.20138657,0.443488667894524
netflix_sample2_train,100k,0.05,0.7,0.5212231971798521,0.21622264,0.4493775539678542
netflix_sample3_train,100k,0.05,0.7,0.5174261576054756,0.20017195,0.4460544944317875
pinterest_sample1_train,100k,0.05,0.7,0.6940758611075729,0.12758277,0.6707138776864564
pinterest_sample2_train,100k,0.05,0.7,0.6939868688642664,0.13673927,0.6690116292521079
pinterest_sample3_train,100k,0.05,0.7,0.693295770540005,0.13105471,0.6698913577627971
steam_sample1_train,100k,0.05,0.7,0.705707588625998,0.37378407,0.585315344555258
steam_sample2_train,100k,0.05,0.7,0.7066723019514877,0.38039064,0.58260117479567
steam_sample3_train,100k,0.05,0.7,0.7051495944045018,0.38625312,0.5811805047927391
yahoo-music_sample1_train,100k,0.05,0.7,0.21268175843126694,0.07091984,0.17850377416934568
yahoo-music_sample2_train,100k,0.05,0.7,0.20880836800417643,0.07519168,0.17541596218435562
yahoo-music_sample3_train,100k,0.05,0.7,0.21003059385968426,0.067610525,0.1776314547887238
yelp2022_sample1_train,100k,0.05,0.7,0.6827553641604988,0.059788894,0.6649991464415143
yelp2022_sample2_train,100k,0.05,0.7,0.6784093766094316,0.06899785,0.658468705802826
yelp2022_sample3_train,100k,0.05,0.7,0.6835331158480722,0.067092195,0.6655701294382501
Amazon_Books_sample1_train,100k,0.05,1.0,0.8440075514024397,0.08570979,0.837576639530386
Amazon_Books_sample2_train,100k,0.05,1.0,0.8503515480455879,0.05925404,0.845767314200534
Amazon_Books_sample3_train,100k,0.05,1.0,0.8384432095467318,0.07299953,0.8300036701222647
Amazon_Digital_Music_sample1_train,100k,0.05,1.0,0.7996630508268635,0.022494098,0.7852289934532268
